crawl_type,business_entity,model,skill,source_url,page_url,page_title,text_sample,status,error_message,level1_url,level2_url,level3_url,supplier_url
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=1,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=1,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=1&time=preyear,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=1&time=preyear,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=2,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&region=郑州&nianfen=2024&yuefen=2,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&time=thisyear&region=北京,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&time=thisyear&region=北京,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&time=nextyear&page=1,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&time=nextyear&page=1,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&time=thisyear&region=北京,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&time=thisyear&region=北京,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=其他,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=其他,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=其他&time=nextyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=其他&time=nextyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=成都,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=成都,,
